Country Name,Series Code,LatestValue
Low income,NY.GDP.MKTP.CD,469282282632.522
Low income,SP.POP.TOTL,624608098
Lower middle income,NY.GDP.MKTP.CD,7941312381464.47
Lower middle income,SP.POP.TOTL,3120980912
"Middle East, North Africa, Afghanistan & Pakistan",NY.GDP.MKTP.CD,5094721946852.29
"Middle East, North Africa, Afghanistan & Pakistan",SP.POP.TOTL,813146136
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",NY.GDP.MKTP.CD,2203604227426.38
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",SP.POP.TOTL,741690916
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",NY.GDP.MKTP.CD,2189893127426.38
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",SP.POP.TOTL,736401764
Middle income,NY.GDP.MKTP.CD,38925709373017.7
Middle income,SP.POP.TOTL,5938893610
North America,NY.GDP.MKTP.CD,31003826557365
North America,SP.POP.TOTL,381464223
Not classified,NY.GDP.MKTP.CD,
Not classified,SP.POP.TOTL,
OECD members,NY.GDP.MKTP.CD,67500141717526.3
OECD members,SP.POP.TOTL,1396877448
Other small states,NY.GDP.MKTP.CD,208127281931.64
Other small states,SP.POP.TOTL,12931878
Pacific island small states,NY.GDP.MKTP.CD,12124739862.5303
Pacific island small states,SP.POP.TOTL,2722467
Post-demographic dividend,NY.GDP.MKTP.CD,62787810951925.4
Post-demographic dividend,SP.POP.TOTL,1128377826
Pre-demographic dividend,NY.GDP.MKTP.CD,1510802883684.15
Pre-demographic dividend,SP.POP.TOTL,1105951788
Small states,NY.GDP.MKTP.CD,310642066645.912
Small states,SP.POP.TOTL,20193405
South Asia,NY.GDP.MKTP.CD,4512296631866.31
South Asia,SP.POP.TOTL,1677384532
South Asia (IDA & IBRD),NY.GDP.MKTP.CD,4512296631866.31
South Asia (IDA & IBRD),SP.POP.TOTL,1677384532
Sub-Saharan Africa,NY.GDP.MKTP.CD,1979078503991.37
Sub-Saharan Africa,SP.POP.TOTL,1291044964
Sub-Saharan Africa (excluding high income),NY.GDP.MKTP.CD,1827170966475.93
Sub-Saharan Africa (excluding high income),SP.POP.TOTL,1158863843
Sub-Saharan Africa (IDA & IBRD countries),NY.GDP.MKTP.CD,1979078503991.37
Sub-Saharan Africa (IDA & IBRD countries),SP.POP.TOTL,1291044964
Upper middle income,NY.GDP.MKTP.CD,30986054597959.2
Upper middle income,SP.POP.TOTL,2817912698
World,NY.GDP.MKTP.CD,110982661180013
World,SP.POP.TOTL,8141808945
